hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
25,0,495,63.0073239336416,113.54631968586546,128.5553436279297,65.18928,112.30569,128.55534,7.142634868621826,-1.0655592679977417,335585283,2.509998326542722,180.0,56.1879442157,116.675468393,135.45,"[148, 180]",427.0,962.0,476.834051714618,874.7751887176639
26,0,521,98.94333846971858,83.61793357800343,127.48479461669922,98.95643,83.56392,127.484795,7.185306072235107,-0.7030000686645508,335568899,0.05557802604445695,116.0,101.24717697999999,80.7419293407,135.45,[116],714.0,510.0,717.0401694921372,509.8464595887435
27,0,491,113.96115421933428,-55.855449826944096,124.53349304199219,114.10208,-55.697117,124.53349,7.206193923950195,0.4543972611427307,335757315,0.21196644251046823,852.0,114.423046224,-55.1032348679,135.45,[852],578.0,589.0,571.911401638236,583.5243198133708
28,0,774,-119.87407729555525,-43.3715920841496,130.0629425048828,-119.5685,-44.346,130.06294,6.930589199066162,2.7930564880371094,335675395,1.0212010540312964,532.0,-114.423046224,-55.1032348679,135.45,[532],1032.0,396.0,1071.2657113500159,383.9587571377899
29,0,755,-55.536288707880885,116.9902983097054,130.71678161621094,-55.89482,116.78167,130.71678,7.005407333374023,-2.0153932571411133,335618051,0.4148149657158753,308.0,-56.1879442157,116.675468393,135.45,[308],606.0,613.0,614.5931966682156,628.0662203127645
30,0,970,129.1166131163609,-16.070697144015867,127.4162368774414,129.24861,-15.550961,127.41624,7.220723628997803,0.12247824668884277,335765507,0.5362366053218214,884.0,126.25316462800001,-28.8164609473,135.45,[884],1132.0,721.0,1111.8305521313653,716.5379395344354
31,0,453,111.93204758317006,60.37909973027854,124.84484100341797,111.30318,61.5091,124.84484,7.203256130218506,-0.49601322412490845,335560707,1.2932065542577997,84.0,114.423046224,55.1032348679,135.45,[84],858.0,477.0,813.0345944951415,502.36005436680216
32,0,531,112.63392807072523,58.69621587612346,124.66175079345702,112.535385,58.950405,124.66175,7.204291820526123,-0.48172569274902344,335560707,0.2726222348587683,84.0,114.423046224,55.1032348679,135.45,[84],755.0,526.0,745.7192403289383,530.435273869009
33,0,422,-54.33426735010289,117.53021673297553,130.67013549804688,-54.16686,117.61381,130.67014,7.006770133972168,-2.005218029022217,335618051,0.18711790738623799,308.0,-56.1879442157,116.675468393,135.45,[308],639.0,682.0,636.1899335990211,676.1470746238842
34,0,295,15.657238977430097,-126.66675613700409,127.3238754272461,15.670572,-126.65703,127.323875,7.088114261627197,1.4464600086212158,335724547,0.01650484091239511,724.0,28.2601586125,-123.815844847,135.45,[724],488.0,98.0,487.9635483998368,97.88321459720393
35,0,123,-128.96503765473426,16.965556146584277,132.8571319580078,-129.01369,16.580292,132.85713,6.92305850982666,-3.0122013092041016,335650819,0.38832387074797425,436.0,-126.25316462800001,28.8164609473,135.45,[436],112.0,491.0,127.96380797137104,493.52507893063034
36,0,875,-109.71499519659119,64.85126392843813,129.8177947998047,-109.62136,65.001434,129.8178,6.942004680633545,-2.609128475189209,335642627,0.17697048496570567,404.0,-114.423046224,55.1032348679,135.45,[404],997.0,794.0,991.9211624215251,790.3220410963525
